Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
26/03/2019	4	0,1	3	9	23	14	88	4	43	13,5	57	1007	273	0	7	6
27/03/2019	4	0,1	3	11	15	15	91	3,4	49	13,6	51	1011	290	0	4	3
28/03/2019	5	0,1	3	14	15	18	87	2,5	40	12,3	58	1015	293	0	5	4
29/03/2019	4	0,1	2	14	12	18	88	2,7	42	12,4	65	1014	269	0	5	4
30/03/2019	4	0,1	2	9	14	13	93	2,7	35	13	70	1008	269	0	7	5
31/03/2019	4	0,1	2	10	9	13	72	1,2	354	13,5	93	1000	41	9,5	6	5
01/04/2019	4	0,1	4	16	12	21	77	1,1	78	14,7	91	1002	102	1	8	7
02/04/2019	4	0,1	4	15	19	20	72	1,9	224	16,3	83	1002	264	3,8	14	13
03/04/2019	4	0,2	4	18	15	24	62	2,2	286	16,9	75	993	281	0,1	10	9
04/04/2019	5	0,1	3	9	9	14	82	1,9	145	14,1	69	991	305	0	3	2
05/04/2019	3	0,1	4	14	8	20	69	2,6	281	13,4	75	989	222	3,1	4	3
06/04/2019	3	0,1	2	4	2	8	82	3,8	247	13,2	57	993	196	0	1	1
07/04/2019	3	0,1	2	3	9	6	91	5,8	286	16	44	998	300	0	1	1
08/04/2019	3	0,1	3	13	8	18	62	2,4	273	17,6	60	1001	163	0,1	2	2
09/04/2019	3	0,1	3	7	10	11	85	5,6	292	17,1	46	1000	260	0	2	1
10/04/2019	3	0,1	3	6	7	10	85	5	284	16,2	48	1000	256	0	1	1
11/04/2019	4	0,1	2	11	11	15	81	2,2	9	15,5	54	1002	320	0	3	2
12/04/2019	4	0,1	2	11	12	13	88	2,5	8	15,1	55	1004	332	0	5	4
13/04/2019	4	0,2	2	17	12	21	83	1,7	60	15	62	1005	330	0	7	6
